Llaves válidas para el Cifrado Afín con n = 15
Formato: Llave K=(a, b), Inversa de a (a⁻¹ mod n)
-----------------------------------------------------
K=(1, 0), a⁻¹=1
K=(1, 1), a⁻¹=1
K=(1, 2), a⁻¹=1
K=(1, 3), a⁻¹=1
K=(1, 4), a⁻¹=1
K=(1, 5), a⁻¹=1
K=(1, 6), a⁻¹=1
K=(1, 7), a⁻¹=1
K=(1, 8), a⁻¹=1
K=(1, 9), a⁻¹=1
K=(1, 10), a⁻¹=1
K=(1, 11), a⁻¹=1
K=(1, 12), a⁻¹=1
K=(1, 13), a⁻¹=1
K=(1, 14), a⁻¹=1
K=(2, 0), a⁻¹=8
K=(2, 1), a⁻¹=8
K=(2, 2), a⁻¹=8
K=(2, 3), a⁻¹=8
K=(2, 4), a⁻¹=8
K=(2, 5), a⁻¹=8
K=(2, 6), a⁻¹=8
K=(2, 7), a⁻¹=8
K=(2, 8), a⁻¹=8
K=(2, 9), a⁻¹=8
K=(2, 10), a⁻¹=8
K=(2, 11), a⁻¹=8
K=(2, 12), a⁻¹=8
K=(2, 13), a⁻¹=8
K=(2, 14), a⁻¹=8
K=(4, 0), a⁻¹=4
K=(4, 1), a⁻¹=4
K=(4, 2), a⁻¹=4
K=(4, 3), a⁻¹=4
K=(4, 4), a⁻¹=4
K=(4, 5), a⁻¹=4
K=(4, 6), a⁻¹=4
K=(4, 7), a⁻¹=4
K=(4, 8), a⁻¹=4
K=(4, 9), a⁻¹=4
K=(4, 10), a⁻¹=4
K=(4, 11), a⁻¹=4
K=(4, 12), a⁻¹=4
K=(4, 13), a⁻¹=4
K=(4, 14), a⁻¹=4
K=(7, 0), a⁻¹=13
K=(7, 1), a⁻¹=13
K=(7, 2), a⁻¹=13
K=(7, 3), a⁻¹=13
K=(7, 4), a⁻¹=13
K=(7, 5), a⁻¹=13
K=(7, 6), a⁻¹=13
K=(7, 7), a⁻¹=13
K=(7, 8), a⁻¹=13
K=(7, 9), a⁻¹=13
K=(7, 10), a⁻¹=13
K=(7, 11), a⁻¹=13
K=(7, 12), a⁻¹=13
K=(7, 13), a⁻¹=13
K=(7, 14), a⁻¹=13
K=(8, 0), a⁻¹=2
K=(8, 1), a⁻¹=2
K=(8, 2), a⁻¹=2
K=(8, 3), a⁻¹=2
K=(8, 4), a⁻¹=2
K=(8, 5), a⁻¹=2
K=(8, 6), a⁻¹=2
K=(8, 7), a⁻¹=2
K=(8, 8), a⁻¹=2
K=(8, 9), a⁻¹=2
K=(8, 10), a⁻¹=2
K=(8, 11), a⁻¹=2
K=(8, 12), a⁻¹=2
K=(8, 13), a⁻¹=2
K=(8, 14), a⁻¹=2
K=(11, 0), a⁻¹=11
K=(11, 1), a⁻¹=11
K=(11, 2), a⁻¹=11
K=(11, 3), a⁻¹=11
K=(11, 4), a⁻¹=11
K=(11, 5), a⁻¹=11
K=(11, 6), a⁻¹=11
K=(11, 7), a⁻¹=11
K=(11, 8), a⁻¹=11
K=(11, 9), a⁻¹=11
K=(11, 10), a⁻¹=11
K=(11, 11), a⁻¹=11
K=(11, 12), a⁻¹=11
K=(11, 13), a⁻¹=11
K=(11, 14), a⁻¹=11
K=(13, 0), a⁻¹=7
K=(13, 1), a⁻¹=7
K=(13, 2), a⁻¹=7
K=(13, 3), a⁻¹=7
K=(13, 4), a⁻¹=7
K=(13, 5), a⁻¹=7
K=(13, 6), a⁻¹=7
K=(13, 7), a⁻¹=7
K=(13, 8), a⁻¹=7
K=(13, 9), a⁻¹=7
K=(13, 10), a⁻¹=7
K=(13, 11), a⁻¹=7
K=(13, 12), a⁻¹=7
K=(13, 13), a⁻¹=7
K=(13, 14), a⁻¹=7
K=(14, 0), a⁻¹=14
K=(14, 1), a⁻¹=14
K=(14, 2), a⁻¹=14
K=(14, 3), a⁻¹=14
K=(14, 4), a⁻¹=14
K=(14, 5), a⁻¹=14
K=(14, 6), a⁻¹=14
K=(14, 7), a⁻¹=14
K=(14, 8), a⁻¹=14
K=(14, 9), a⁻¹=14
K=(14, 10), a⁻¹=14
K=(14, 11), a⁻¹=14
K=(14, 12), a⁻¹=14
K=(14, 13), a⁻¹=14
K=(14, 14), a⁻¹=14
